location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Okeira Ifako Ogba Ogba Lagos,2,2,,,Flat Apartment FOR Rent,1600000
Okeira Ifako Ogba Ogba Lagos,2,2,,,Flat Apartment FOR Rent,2000000
Okeira Ajayi Road Ogba Lagos,3,3,,,Flat Apartment FOR Rent,5000000
Obawole Ifako Ogba Ogba Lagos,2,2,,,Flat Apartment FOR Rent,3000000
Okeira Ajayi Road Ogba Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Obawole Ifako Ogba Ogba Lagos,2,2,,,Flat Apartment FOR Rent,2500000
Ifako Gbagada Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,1100
Allen Avenue Ikeja Lagos,3,2,,,House FOR Rent,4500
Ikeja Gra Ikeja Lagos,4,5,,,House FOR Rent,25000000
Adekunle Yaba Lagos,,,,,Commercial Property FOR Rent,3500000
Alagomeji Yaba Lagos,2,3,,,Flat Apartment FOR Rent,5000000
Randle Avenue Surulere Lagos,1,2,,,Flat Apartment FOR Rent,2500000
Kfarms Ogba Lagos,1,2,,,Flat Apartment FOR Rent,1800000
Olaniyi Road New Oko Oba Abule Egba Lagos,1,2,,,House FOR Rent,1200000
"Hamadiya, Ojokoro Abule Egba Lagos",2,3,,,House FOR Rent,1800000
Olaniyi New Oko Oba Abule Egba Lagos,2,3,,,House FOR Rent,1500000
Off Jibowu New Oko Oba Abule Egba Lagos,2,3,,,House FOR Rent,2000000
Olaniyi Street New Oko Oba Abule Egba Lagos,3,4,,,House FOR Rent,1800000
Maplewood Estate Oko Oba Agege Lagos,2,3,,,House FOR Rent,5000000
"Eze Estate, Aboru Ayobo Ipaja Lagos",3,4,,,House FOR Rent,2500000
Olaniyi Road New Oko Oba Abule Egba Lagos,1,2,,,Flat Apartment FOR Rent,900000
Allen Avenue Ikeja Lagos,,,,,Commercial Property FOR Rent,8000000
Opebi Ikeja Lagos,,,,,Commercial Property FOR Rent,20000000
Oregun Ikeja Lagos,,,,,Commercial Property FOR Rent,20000000
Pedro Road Shomolu Lagos,,,,,Commercial Property FOR Rent,2500000
Ojuelegba Surulere Lagos,3,3,,,Flat Apartment FOR Rent,5000000
Abule Oja Yaba Lagos,,,,,Flat Apartment FOR Rent,800000
Omole Phase 2 Ojodu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Ojodu Lagos,2,2,,,Flat Apartment FOR Rent,2500000
Yaba Lagos,2,2,,,Flat Apartment FOR Rent,4000000
Pedro Road Shomolu Lagos,,,,,Commercial Property FOR Rent,3000000
Deeper Life Church Axis Ifako Gbagada Gbagada Lagos,,,,,Flat Apartment FOR Rent,1000000
Folagoro Akoka Yaba Lagos,,,,,Commercial Property FOR Rent,2000000
Off Adelabu Adelabu Surulere Lagos,,,,,Commercial Property FOR Rent,2000000
Yaba Lagos,2,2,,,Flat Apartment FOR Rent,2500000
Ojodu Lagos,3,3,,,Flat Apartment FOR Rent,3000000
Bode Thomas Surulere Lagos,,,,,Commercial Property FOR Rent,5000000
Off College Road Ogba Lagos,4,4,,,Flat Apartment FOR Rent,5000000
Sweet Sensation Eatery Axis Alagomeji Yaba Lagos,,,,,Commercial Property FOR Rent,2500000
College Road Ogba Bus Stop Ogba Lagos,,,,,Commercial Property FOR Rent,6000000
Alagomeji Yaba Lagos,3,3,,,Flat Apartment FOR Rent,160000000
Adekunle Yaba Lagos,,,,,Commercial Property FOR Rent,4000000
Adekunle Yaba Lagos,1,1,,,Flat Apartment FOR Rent,900000
Medina Gbagada Lagos,2,2,,,Flat Apartment FOR Rent,2500000
Alagomeji Yaba Lagos,3,3,,,Flat Apartment FOR Rent,4500000
Ojodu Lagos,,,,,Commercial Property FOR Rent,2000000
Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,2500000
Yaba Lagos,2,2,,,Flat Apartment FOR Rent,3000000
Yaba Lagos,,,,,Flat Apartment FOR Rent,600000
"Off College Road, Ogba Lagos",1,1,,,Flat Apartment FOR Rent,1500000
"Olamide Baddo, Gbagada Phase 1 Gbagada Lagos",1,1,,,Flat Apartment FOR Rent,2000000
Ayoola Coker Gra Ikeja Ikeja Gra Ikeja Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Ayoola Coker Gra Ikeja Ikeja Gra Ikeja Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Ayoola Coker Ikeja Gra Ikeja Lagos,1,1,,,Flat Apartment FOR Rent,13000000
Mobolaji Bank Anthony Way Ikeja Lagos,1,1,,,House FOR Rent,1000000
Maryland Ikeja Lagos,5,,,,Commercial Property FOR Rent,15000000
Idiroko Bus Stop Maryland Lagos,,,,650,Land FOR Rent,15000000
Obafemi Awolowo Way Ikeja Lagos,,,,,Commercial Property FOR Rent,25000000
Awolowo Way Ikeja Lagos,5,,,,House FOR Rent,18000000
Ikeja Lagos,3,,,,Commercial Property FOR Rent,75000000
Ogba Bus Stop Ogba Lagos,2,,,,Commercial Property FOR Rent,2000000
"Kirikiri Industrial Estate, Apapa Lagos",,,,847,Land FOR Rent,139617500
"Hughes Avenue, Alagomeji Yaba Lagos",,,,,Commercial Property FOR Rent,80000
Omole Phase 1 Ikeja Lagos Ikeja Lagos,5,6,,,House FOR SALE,600000000
Ogba Bus Stop Ogba Lagos,,,,,Commercial Property FOR Rent,9000000
Magodo Brooks Estate Kosofe Ikosi Lagos,5,,,,House FOR Rent,20000000
Ogba Bus Stop Ogba Lagos,,,,,Commercial Property FOR Rent,35000
