location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Oke Ira Ogba Lagos,2,,,,Flat Apartment FOR Rent,1800000
Oke Ira Ogba Lagos,2,,,,Flat Apartment FOR Rent,3000000
Oke Ira Ogba Lagos,,,,,Flat Apartment FOR Rent,1800000
Omole Phase 2 Ikeja Lagos,3,3,,,House FOR Rent,25000000
Apapa Road Ijora Ijora Apapa Lagos,,,,,Commercial Property FOR Rent,40000
Akoka Yaba Lagos,,,,,Flat Apartment FOR Rent,1500000
New Garage Gbagada Lagos,,,,,Commercial Property FOR Rent,1200000
Shomolu Shomolu Lagos,,,,,Flat Apartment FOR Rent,1000000
Yakoyo Yakoyo Alagbole Ojodu Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Berger Ojodu Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Berger Ojodu Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Lawanson Surulere Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Morgan Estate Ojodu Lagos,3,3,,,House FOR Rent,3500000
Bariga Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Itire Surulere Lagos,1,1,,,Flat Apartment FOR Rent,1800000
Ifako Ogba Ogba Lagos,2,2,,,House FOR Rent,1800000
Yakoyo Alagbole Ojodu Lagos,4,4,,,House FOR Rent,3500000
Omole Phase 2 Ojodu Lagos,3,3,,,House FOR Rent,5000000
Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Ifako Gbagada Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Shomolu Shomolu Lagos,,,,,Commercial Property FOR Rent,500000
Lasu Isheri Ikotun Igando Lagos,2,2,,,House FOR Rent,1500000
Off College Road Ifako Ogba Ogba Lagos,2,2,,,House FOR Rent,2500000
Ikotun Igando Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Ikotun Igando Lagos,1,1,,,Flat Apartment FOR Rent,850000
Ikotun Igando Lagos,,,,,Flat Apartment FOR Rent,400000
Medina Gbagada Lagos,3,3,,,House FOR Rent,4000000
Yaba Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Berger Ojodu Lagos,2,2,,,House FOR Rent,3000000
Bariga Shomolu Lagos,,,,,Commercial Property FOR Rent,700000
Berger Ojodu Lagos,3,3,,,House FOR Rent,3500000
Adeniyi Jones Ikeja Lagos,4,5,,,House FOR SALE,395000000
Berger Ojodu Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Off College Road Ifako Ogba Ogba Lagos,2,2,,,House FOR Rent,2500000
Shomolu Shomolu Lagos,,,,,Flat Apartment FOR Rent,800000
Ijesha Surulere Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Berger Ojodu Lagos,3,3,,,House FOR Rent,4000000
Berger Ojodu Lagos,3,3,,,House FOR Rent,3500000
Itire Surulere Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Ilupeju Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Berger Ojodu Lagos,3,3,,,Commercial Property FOR Rent,4800000
New Garage Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Oworonshoki Gbagada Lagos,,,,,Flat Apartment FOR Rent,600000
Alausa Ikeja Lagos,,,,121,Commercial Property FOR Rent,70000
Omole Phase 1 Ojodu Lagos,2,2,,,Commercial Property FOR Rent,5500000
Allen Avenue Ikeja Lagos,4,4,,,House FOR Rent,16000000
Ikeja Along Dopemu Agege Lagos,,,,500,Commercial Property FOR Rent,5000000
Ikeja Gra Ikeja Lagos,4,4,,,House FOR Rent,20000000
Onipan Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Palmgroove Shomolu Shomolu Lagos,,,,,Commercial Property FOR Rent,3000000
Onipan Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,9000000
Palmgroove Palmgroove Shomolu Lagos,2,2,,,Flat Apartment FOR Rent,5000000
Morocco Shomolu Shomolu Lagos,,,,,Commercial Property FOR Rent,3000000
Alagomeji Alagomeji Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Akoka Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Akoka Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Bariga Shomolu Lagos,2,2,,,Flat Apartment FOR Rent,2000000
Ebute Metta Adekunle Yaba Lagos,3,2,,,Flat Apartment FOR Rent,3000000
Jibowu Yaba Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Onipan Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,16000000
Onipan Palmgroove Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Palmgroove Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Chemist Akoka Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Onipan Palmgroove Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Palmgroove Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Morocco Shomolu Shomolu Lagos,,,,,Commercial Property FOR Rent,2000000
Bariga Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Adekunle Ebute Metta Yaba Lagos,,,,,Commercial Property FOR Rent,1500000
Pedro Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Morocco Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Onipan Palmgroove Shomolu Lagos,2,2,,,Flat Apartment FOR Rent,5000000
Onipan Palmgroove Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Onipan Palmgroove Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Palmgroove Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Onipan Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Bajulaiye Shomolu Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1000000
