location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira,source
Banana Island Ikoyi Lagos,4.0,4.0,,,House FOR Rent,50000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,37000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,55000000/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,5.0,5.0,,,House FOR Rent,144000000,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,94000000/year,propertypro
Omole Phase 1 Ikeja Lagos Ikeja Lagos,5.0,6.0,,,House FOR SALE,600000000,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,45000000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,3.0,2.0,,,Flat Apartment FOR Rent,24000000/year,propertypro
Old Ikoyi Ikoyi Lagos,1.0,1.0,,,Flat Apartment FOR Rent,18000000/year,propertypro
Parkview Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,30000000/year,propertypro
Parkview Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,39999999/year,propertypro
Parkview Estate Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,22000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,House FOR Rent,29999999/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,73500000/year,propertypro
Banana Island Ikoyi Lagos,5.0,5.0,,,House FOR Rent,90000000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,24999999/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat / Apartment FOR RENT,12000000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,54999000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,48000000/year,propertypro
Banana Island Estate Ikoyi Lagos,5.0,5.0,,,House FOR Rent,177000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,House FOR Rent,35000000/year,propertypro
Banana Island Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,50000000/year,propertypro
Surulere Lagos,3.0,,,,Flat Apartment FOR Rent,6000000/year,propertypro
Oke Ira Ogba Lagos,3.0,,,,Flat Apartment FOR Rent,5000000/year,propertypro
Kilo Marsha Surulere Lagos,3.0,,,,Flat Apartment FOR Rent,5000000/year,propertypro
Alaka Estate Surulere Lagos,3.0,,,,Flat Apartment FOR Rent,6000000/year,propertypro
Omole Phase 2 Ojodu Lagos,5.0,,,,House FOR Rent,25000000/year,propertypro
Allen Avenue Ikeja Lagos,9.0,,,,House FOR Rent,18000000/year,propertypro
Awolowo Way Ikeja Lagos,,,,,Commercial Property FOR Rent,18000000/year,propertypro
Ikeja Gra Ikeja Lagos,,,,300.0,Commercial Property FOR Rent,60000000/year,propertypro
Durojaiye Estate Akute Otun Accessible From Ojodu Berger Yakoyo Alagbole Ojodu Lagos,1.0,1.0,,,Flat Apartment FOR Rent,300000/year,propertypro
Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,19000000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Victoria Island Lagos,5.0,5.0,,,House FOR Rent,30000000/year,propertypro
Victoria Island Lagos,2.0,2.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Osapa London Lekki Lagos,3.0,3.0,,,House FOR Rent,7500000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR RENT,22000000/year,propertypro
Ikota Lekki Lagos,3.0,3.0,,,House FOR Rent,6000000/year,propertypro
Old Ikoyi Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,19000000/year,propertypro
Ikate Lekki Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Oniru Victoria Island Lagos,4.0,4.0,,,House FOR Rent,25000000/year,propertypro
Victoria Island Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Karimu Kotun Victoria Island Lagos,2.0,2.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Ikota Lekki Lagos,3.0,3.0,,,House FOR Rent,5500000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,House FOR Rent,30000000/year,propertypro
Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Vgc Lekki Lagos,4.0,4.0,,,House FOR SALE,190000000,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,9000000/year,propertypro
Chevron Lekki Lagos,5.0,5.0,,,House FOR Rent,25000000/year,propertypro
Banana Island Ikoyi Lagos,5.0,5.0,,,House FOR Rent,$,propertypro
Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,65000000/year,propertypro
Ikoyi Lagos,4.0,4.0,,,House FOR Rent,$,propertypro
Ikoyi Lagos,4.0,4.0,,,House FOR Rent,30000000/year,propertypro
Banana Island Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
"Admiralty Way, Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,250000/sqm,propertypro
Bera Estate Chevron Lekki Lagos,4.0,4.0,,,House FOR Rent,10000000/year,propertypro
"Opposite Emerald Estate, Ajah Lagos",3.0,3.0,,,House FOR Rent,3500000/year,propertypro
Eko Atlantic Victoria Island Lagos,3.0,3.0,,,Flat / Apartment FOR SHORTLET,350000/day,propertypro
Orchid Lekki Lagos,,,,,House FOR Rent,6500000/year,propertypro
Omole Phase 2 Ojodu Lagos,5.0,5.0,,,House FOR Rent,15000000/year,propertypro
Haris Drive Vgc Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Ologolo Lekki Lagos,4.0,4.0,,,House FOR Rent,11000000/year,propertypro
Ikate Lekki Lagos,4.0,4.0,,,House FOR Rent,30000000/year,propertypro
"Osameren Street, Ologolo Agungi Lekki Lagos",4.0,4.0,,,House FOR RENT,20000000/year,propertypro
Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,55000000/year,propertypro
Victoria Island Lagos,,,,,Commercial Property FOR Rent,150000000/year,propertypro
Parkview Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,35000000/year,propertypro
Banana Island Ikoyi Lagos,3.0,3.0,,,House FOR Rent,35000000/year,propertypro
Lekki Phase 1 Lekki Lagos,5.0,5.0,,,House FOR Rent,35000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Oniru Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Oniru Victoria Island Lagos,4.0,4.0,,,House FOR Rent,35000000/year,propertypro
Victory Park Estate Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR SALE,780000000,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,House FOR Rent,30000000/year,propertypro
Old Ikoyi Ikoyi Lagos,9.0,9.0,,,Commercial Property FOR Rent,200000000/year,propertypro
Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,3500000/year,propertypro
Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,70000000/year,propertypro
Oniru Victoria Island Lagos,5.0,5.0,,,House FOR Rent,20000000/year,propertypro
Victoria Island Lagos,2.0,2.0,,,Flat Apartment FOR Rent,27000000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
Victoria Island Lagos,2.0,2.0,,,Flat / Apartment FOR RENT,12000000/year,propertypro
Oniru Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,12000000/year,propertypro
Oniru Victoria Island Lagos,3.0,3.0,,,House FOR Rent,12000000/year,propertypro
Old Ikoyi Ikoyi Lagos,1.0,1.0,,,Flat Apartment FOR Rent,18000000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,18000000/year,propertypro
Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,25000000/year,propertypro
Ikate Lekki Lagos,5.0,5.0,,,House FOR SALE,980000000,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,16000000/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,65000000,propertypro
Off Adeola Odeku Victoria Island Lagos,3.0,3.0,,,House FOR Rent,38000000/year,propertypro
Osapa London Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,House FOR Rent,80000000/year,propertypro
Milverton Road Ikoyi Lagos,4.0,4.0,,,House FOR Rent,40000000/year,propertypro
Oniru Victoria Island Lagos,3.0,3.0,,,House FOR Rent,8000000/year,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,13000000/year,propertypro
Agungi Osapa London Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,6500000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Ikoyi Lagos,2.0,2.0,,,House FOR Rent,30000000/year,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Ologolo Lekki Lagos,4.0,4.0,,,House FOR Rent,15000000/year,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Osapa London Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Ologolo Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,8000000/year,propertypro
Off Freedom Way Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,14000000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,18000000/year,propertypro
Ologolo Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,14000000/year,propertypro
Ikate Lekki Lagos,4.0,4.0,,,House FOR Rent,12500000/year,propertypro
Ologolo Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,8000000/year,propertypro
Ikate Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Ikate Lekki Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Osapa London Lekki Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
"Off Freedom Way, Lekki Phase 1 Lekki Lagos",2.0,2.0,,,Flat Apartment FOR Rent,11000000/year,propertypro
Osapa London Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Lekki Phase 1 Lekki Lagos,5.0,5.0,,,House FOR Rent,35000000/year,propertypro
"Orchid Road, Lekki Phase 2 Lekki Lagos",1.0,1.0,,,Commercial Property FOR Rent,3000000/year,propertypro
Nike Art Gallery Road Ikate Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,18000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,,,,,LAND,,privateproperty
Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Victoria Island Lagos,,,1.0,,COMMERCIAL PROPERTY,,privateproperty
Banana Island Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM HOUSE,,privateproperty
Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Ikate Elegushi Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Ikate Lekki Phase One Lekki Phase 1 Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS For Sale,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Old Ikoyi Ikoyi Lagos,,,,,LAND,,privateproperty
Banana Island Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Island Lagos,,,,,LAND,,privateproperty
Old Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Banana Island Ikoyi Lagos,1.0,1.0,2.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Lagos,1.0,1.0,2.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Banana Island Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM MAISONETTE,,privateproperty
Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Oniru Estate Oniru Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Victoria Island Lagos,,,,,LAND,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Island Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lagos,3.0,3.0,4.0,,3 BEDROOM COMMERCIAL PROPERTY,,privateproperty
Banana Island Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM SHARED APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,10.0,10.0,10.0,,10 BEDROOM TERRACED DUPLEX,,privateproperty
Victoria Island Lagos,,,,,LAND,,privateproperty
Chevron Drive Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM SHARED APARTMENT,,privateproperty
Ikoyi Lagos,,1.0,1.0,,OFFICE,,privateproperty
Banana Island Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Banana Island Ikoyi Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Old Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,1.0,,,,1 BEDROOM MINI FLAT,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Victoria Island Lagos,,,,,COMMERCIAL PROPERTY,,privateproperty
Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Oniru Victoria Island Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Island Lagos,6.0,6.0,7.0,,6 BEDROOM DETACHED DUPLEX,,privateproperty
Old Ikoyi Ikoyi Lagos,,,,,LAND,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Victoria Island Lagos,,,,,LAND,,privateproperty
Banana Island Road Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM FLAT & APARTMENT,,privateproperty
Old Ikoyi Ikoyi Lagos,,,,,JOINT VENTURE LAND,,privateproperty
Old Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM SHARED APARTMENT,,privateproperty
Victoria Island Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM SHARED APARTMENT,,privateproperty
Oniru Victoria Island Lagos,1.0,1.0,2.0,,1 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM COMMERCIAL PROPERTY,,privateproperty
Banana Island Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Victoria Island Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
Old Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,6.0,6.0,7.0,,6 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Lekki Phase 1 By Freedom Way Lekki Phase 1 Lagos,4.0,5.0,5.0,,4 BEDROOM TERRACE For Sale,,privateproperty
Oniru Victoria Island Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Orchid Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Agungi Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Victoria Island Lagos,,,1.0,,OFFICE,,privateproperty
Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM MAISONETTE,,privateproperty
Lekki Phase 1 Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Lekki Phase 1 Lekki Lagos,1.0,1.0,2.0,,1 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,,5 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Lekki Phase 1 Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,,,1.0,,OFFICE,,privateproperty
Parkview Estate Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM TERRACED DUPLEX,,privateproperty
Victoria Island Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM HOUSE,,privateproperty
Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Ikoyi Lagos,,,,,LAND,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Garden City Lekki Lagos,4.0,5.0,5.0,,4 BEDROOM DETACHED DUPLEX For Sale,,privateproperty
Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACE,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Island Lagos,6.0,6.0,7.0,,6 BEDROOM BLOCK OF FLATS,,privateproperty
Ikoyi Lagos,1.0,1.0,2.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Off Ligali Ayoride Ligali Ayorinde Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Maryland Lagos,1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Apapa Apapa Lagos,1.0,1.0,1.0,,1 BEDROOM MINI FLAT,,privateproperty
Ikate Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Gbagada Gbagada Lagos,5.0,5.0,5.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Orchid Road Lekki Ikota Lagos Ikota Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DUPLEX,,privateproperty
Lekki Phase 1 Lagos,1.0,,,,1 BEDROOM MINI FLAT,,privateproperty
Victoria Island Victoria Island Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ikota Lekki Lagos,,,,,MALL/COMPLEX/PLAZA,,privateproperty
Oniru Victoria Island Lagos,3.0,3.0,5.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Ajah Ajah Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACED DUPLEX,,privateproperty
Secure Estate At Harris Drive Lekki Victoria Garden City Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Osapa Osapa London Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Shonibare Estate Shonibare Estate Maryland Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Victoria Garden City Lekki Lagos,,,,,RESIDENTIAL LAND For Sale,,privateproperty
Victoria Island Ligali Ayorinde Victoria Island Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Ikate Elegushi Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Anthony Village Maryland Lagos,3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Orchid Lekki Expressway Lekki Lagos,1.0,1.0,2.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Secure Estate At Orchid Lekki Along Lekki Expressway Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Friend Colony Agungi Osapa Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Off First Avenue Ikoyi Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Estate Lekki Lagos,1.0,1.0,1.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Oniru Victoria Island Oniru Victoria Island Lagos,3.0,3.0,3.0,,3 BEDROOM MINI FLAT,,privateproperty
Old Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Ikate Elegushi Lekki Lagos,4.0,4.0,6.0,,4 BEDROOM SEMI DETACHED DUPLEX,,privateproperty
Banana Island Lagos Banana Island Ikoyi Lagos,3.0,3.0,4.0,,3 BEDROOM MAISONETTE,,privateproperty
"Omitoro, Ijede Road, Ijede Ikorodu Lagos",2.0,2.0,2.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Parkview Estate Parkview Estate Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
Freedom Way Lekki Phase 2 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,,4 BEDROOM TERRACED DUPLEX,,privateproperty
Osapa London Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Orchid Lekki Expressway Lekki Lagos,1.0,1.0,2.0,,1 BEDROOM SHARED APARTMENT,,privateproperty
Banana Island Ikoyi Lagos,5.0,5.0,6.0,,5 BEDROOM HOUSE For Sale,,privateproperty
Gra Ikota Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM TERRACE,,privateproperty
Osapa London Lekki Lagos,,,1.0,,OFFICE,,privateproperty
Ikate Lekki Lagos,2.0,2.0,3.0,,2 BEDROOM FLAT & APARTMENT,,privateproperty
Ait Road Alagbado Lagos State Alagbado Abule Egba Lagos,0.0,0.0,0.0,,SHOP,,privateproperty
Omole Olowora Ojodu Lagos,3.0,4.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,,3 BEDROOM FLAT & APARTMENT,,privateproperty
Ologolo Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Allen Opebi Ikeja Lagos,3.0,4.0,4.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lekki Lagos,4.0,,,,4 BEDROOM TERRACE,,privateproperty
Osapa London Lekki Lagos,4.0,4.0,5.0,,4 BEDROOM DETACHED DUPLEX,,privateproperty
Omole Phase2 Omole Phase 2 Ojodu Lagos,2.0,3.0,3.0,,2 BEDROOM BLOCK OF FLATS,,privateproperty
Lekki Phase 1 Lagos,5.0,5.0,6.0,,5 BEDROOM DETACHED DUPLEX,,privateproperty
"Beside Prime Water, Off Freedom Way, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",3.0,3.0,3.0,,3 BEDROOM BLOCK OF FLATS,,privateproperty
