location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Lekki Phase 1 By Freedom Way Lekki Phase 1 Lagos,4,5,5,,4 BEDROOM TERRACE For Sale,
Oniru Victoria Island Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Orchid Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Agungi Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Victoria Island Lagos,,,1,,OFFICE,
Lekki Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM MAISONETTE,
Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
Lekki Phase 1 Lekki Lagos,1,1,2,,1 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM SEMI DETACHED DUPLEX,
Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Lekki Phase 1 Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Old Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Ikoyi Lagos,,,1,,OFFICE,
Parkview Estate Ikoyi Lagos,5,5,6,,5 BEDROOM TERRACED DUPLEX,
Victoria Island Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Ikoyi Lagos,3,3,4,,3 BEDROOM HOUSE,
Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Ikoyi Lagos,,,,,LAND,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Victoria Garden City Lekki Lagos,4,5,5,,4 BEDROOM DETACHED DUPLEX For Sale,
Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Victoria Island Lagos,6,6,7,,6 BEDROOM BLOCK OF FLATS,
Ikoyi Lagos,1,1,2,,1 BEDROOM SHARED APARTMENT,
Off Ligali Ayoride Ligali Ayorinde Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Maryland Lagos,1,1,1,,1 BEDROOM MINI FLAT,
Apapa Apapa Lagos,1,1,1,,1 BEDROOM MINI FLAT,
Ikate Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Gbagada Gbagada Lagos,5,5,5,,5 BEDROOM DETACHED DUPLEX,
Orchid Road Lekki Ikota Lagos Ikota Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Lekki Phase 1 Lagos,1,,,,1 BEDROOM MINI FLAT,
Victoria Island Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Ikota Lekki Lagos,,,,,MALL/COMPLEX/PLAZA,
Oniru Victoria Island Lagos,3,3,5,,3 BEDROOM BLOCK OF FLATS,
Guzape Abuja Phase 1 Abuja,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ajah Ajah Lagos,3,3,4,,3 BEDROOM TERRACED DUPLEX,
Secure Estate At Harris Drive Lekki Victoria Garden City Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Osapa Osapa London Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Shonibare Estate Shonibare Estate Maryland Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Tanker Park Transekulu Enugu Area Enugu,3,4,4,,3 BEDROOM MINI FLAT,
Victoria Garden City Lekki Lagos,,,,,RESIDENTIAL LAND For Sale,
Victoria Island Ligali Ayorinde Victoria Island Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Ikate Elegushi Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Maitama Maitama Abuja Phase 1 Abuja,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Anthony Village Maryland Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Orchid Lekki Expressway Lekki Lagos,1,1,2,,1 BEDROOM SHARED APARTMENT,
Secure Estate At Orchid Lekki Along Lekki Expressway Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Friend Colony Agungi Osapa Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Off First Avenue Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Estate Lekki Lagos,1,1,1,,1 BEDROOM SHARED APARTMENT,
