location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Awolowo Way Ikeja Lagos,,,,,Commercial Property FOR Rent,18000000/year
Ikeja Gra Ikeja Lagos,,,,300,Commercial Property FOR Rent,60000000/year
Durojaiye Estate Akute Otun Accessible From Ojodu Berger Yakoyo Alagbole Ojodu Lagos,1,1,,,Flat Apartment FOR Rent,300000/year
Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,19000000/year
Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,20000000/year
Victoria Island Lagos,5,5,,,House FOR Rent,30000000/year
Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,25000000/year
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Osapa London Lekki Lagos,3,3,,,House FOR Rent,7500000/year
Lekki Phase 1 Lekki Lagos,4,4,,,House FOR RENT,22000000/year
Ikota Lekki Lagos,3,3,,,House FOR Rent,6000000/year
Old Ikoyi Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,19000000/year
Ikate Lekki Lagos,4,4,,,House FOR Rent,20000000/year
Oniru Victoria Island Lagos,4,4,,,House FOR Rent,25000000/year
Victoria Island Lagos,4,4,,,House FOR Rent,20000000/year
Karimu Kotun Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,15000000/year
Ikota Lekki Lagos,3,3,,,House FOR Rent,5500000/year
Old Ikoyi Ikoyi Lagos,3,3,,,House FOR Rent,30000000/year
Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Vgc Lekki Lagos,4,4,,,House FOR SALE,190000000
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,9000000/year
Chevron Lekki Lagos,5,5,,,House FOR Rent,25000000/year
Guzape Abuja,4,4,,,House FOR Rent,40000000/year
Banana Island Ikoyi Lagos,5,5,,,House FOR Rent,$
Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Banana Island Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,65000000/year
Ikoyi Lagos,4,4,,,House FOR Rent,$
Ikoyi Lagos,4,4,,,House FOR Rent,30000000/year
Banana Island Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,25000000/year
"Admiralty Way, Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,250000/sqm
Bera Estate Chevron Lekki Lagos,4,4,,,House FOR Rent,10000000/year
Gwarinpa Abuja,3,4,,,House FOR RENT,6000000/year
"Opposite Emerald Estate, Ajah Lagos",3,3,,,House FOR Rent,3500000/year
"Jericho Forestry, Jericho Ibadan Oyo",,,,,House FOR Rent,4000000/year
Ipapo Iseyin Oyo,,,,,Commercial Property FOR Rent,8000000/year
General Gas Road Akobo Ibadan Oyo,,,,,Commercial Property FOR Rent,10000000/year
"Opposite Abbey Technical School, Within Walking Distance Of Taska Filling Station, Off Akala Expressway Akala Express Ibadan Oyo",1,2,,,Flat Apartment FOR Rent,1500000/year
"Peculiar Estate, Olounda Akobo Ibadan Oyo",,,,,Flat Apartment FOR Rent,1200000/year
"Kolapo Ishola Gra, Akobo Ibadan Oyo",,,,,House FOR Rent,8500000/year
Ologuneru Ibadan Oyo,,,,,Commercial Property FOR Rent,5000000/year
Adamasingba Mokola Road Ibadan North West Ibadan Oyo,,,,1000,Land FOR Rent,7000000/year
Eko Atlantic Victoria Island Lagos,3,3,,,Flat / Apartment FOR SHORTLET,350000/day
Akobo Ibadan Oyo,,,,,Commercial Property FOR Rent,20000000/year
Orchid Lekki Lagos,,,,,House FOR Rent,6500000/year
"Olorunsogo, Ibadan Oyo",,,,,Commercial Property FOR Rent,5000000/year
Kolapo Ishola Akobo Ibadan Oyo,,,,,House FOR Rent,12000000/year
Sango Eleyele Road Ibadan Oyo,,,,,Commercial Property FOR Rent,4500000/year
"Abbey Technical, Akala Express Ibadan Oyo",,,,,Flat Apartment FOR Rent,1500000/year
Kolapo Ishola Gra Akobo Ibadan Oyo,3,,,,House FOR Rent,8000000/year
Omole Phase 2 Ojodu Lagos,5,5,,,House FOR Rent,15000000/year
Haris Drive Vgc Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Ologolo Lekki Lagos,4,4,,,House FOR Rent,11000000/year
Ikate Lekki Lagos,4,4,,,House FOR Rent,30000000/year
"Osameren Street, Ologolo Agungi Lekki Lagos",4,4,,,House FOR RENT,20000000/year
"Gilmore, Jahi Abuja",3,3,,,House FOR Rent,8000000/year
Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,55000000/year
Victoria Island Lagos,,,,,Commercial Property FOR Rent,150000000/year
Parkview Estate Ikoyi Lagos,4,4,,,House FOR Rent,35000000/year
Banana Island Ikoyi Lagos,3,3,,,House FOR Rent,35000000/year
Lekki Phase 1 Lekki Lagos,5,5,,,House FOR Rent,35000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Oniru Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,20000000/year
Oniru Victoria Island Lagos,4,4,,,House FOR Rent,35000000/year
Victory Park Estate Lekki Phase 1 Lekki Lagos,4,4,,,House FOR SALE,780000000
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,20000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,House FOR Rent,30000000/year
Old Ikoyi Ikoyi Lagos,9,9,,,Commercial Property FOR Rent,200000000/year
Gilmor Jahi Abuja,4,4,,,House FOR Rent,12000000/year
Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,3500000/year
Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,70000000/year
Oniru Victoria Island Lagos,5,5,,,House FOR Rent,20000000/year
Life Camp Abuja,4,4,,,House FOR Rent,9000000/year
Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,27000000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,25000000/year
Katampe Ext Abuja,4,4,,,House FOR Rent,20000000/year
Victoria Island Lagos,2,2,,,Flat / Apartment FOR RENT,12000000/year
Jahi Gilmor Jahi Abuja,4,4,,,House FOR Rent,16000000/year
Oniru Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,12000000/year
Jahi Gilmor Jahi Abuja,4,4,,,House FOR Rent,15000000/year
Oniru Victoria Island Lagos,3,3,,,House FOR Rent,12000000/year
Old Ikoyi Ikoyi Lagos,1,1,,,Flat Apartment FOR Rent,18000000/year
Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,18000000/year
Mabushi In An Estate Mabushi Abuja,4,4,,,House FOR Rent,14000000/year
Life Camp Abuja,4,4,,,House FOR Rent,9000000/year
Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,25000000/year
Ikate Lekki Lagos,5,5,,,House FOR SALE,980000000
Lekki Phase 1 Lekki Lagos,2,2,,,Flat Apartment FOR Rent,16000000/year
Lekki Phase 1 Lekki Lagos,2,2,,,Flat Apartment FOR Rent,20000000/year
Banana Island Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,65000000
Off Adeola Odeku Victoria Island Lagos,3,3,,,House FOR Rent,38000000/year
Osapa London Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Banana Island Ikoyi Lagos,4,4,,,House FOR Rent,80000000/year
Milverton Road Ikoyi Lagos,4,4,,,House FOR Rent,40000000/year
Oniru Victoria Island Lagos,3,3,,,House FOR Rent,8000000/year
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,13000000/year
Agungi Osapa London Lekki Lagos,2,2,,,Flat Apartment FOR Rent,6500000/year
Gwarinpa Abuja,3,4,,,House FOR RENT,6000000/year
Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,20000000/year
Ikoyi Lagos,2,2,,,House FOR Rent,30000000/year
Orchid Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Ologolo Lekki Lagos,4,4,,,House FOR Rent,15000000/year
Orchid Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Osapa London Lekki Lagos,3,3,,,Flat Apartment FOR Rent,15000000/year
Ologolo Lekki Lagos,2,2,,,Flat Apartment FOR Rent,8000000/year
Off Freedom Way Lekki Phase 1 Lekki Lagos,2,2,,,Flat Apartment FOR Rent,14000000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,18000000/year
Carlton Gate Estate Akobo Ibadan Oyo,4,5,,,House FOR RENT,4000000/year
Ologolo Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Orchid Lekki Lagos,4,4,,,House FOR Rent,14000000/year
Ikate Lekki Lagos,4,4,,,House FOR Rent,12500000/year
Ologolo Lekki Lagos,2,2,,,Flat Apartment FOR Rent,8000000/year
Ikate Lekki Lagos,3,3,,,Flat Apartment FOR Rent,15000000/year
Ikate Lekki Lagos,4,4,,,House FOR Rent,20000000/year
Osapa London Lekki Lagos,4,4,,,House FOR Rent,20000000/year
"Off Freedom Way, Lekki Phase 1 Lekki Lagos",2,2,,,Flat Apartment FOR Rent,11000000/year
Osapa London Lekki Lagos,2,2,,,Flat Apartment FOR Rent,15000000/year
"Carlton Gate Estate, Akobo Ibadan Oyo",4,4,,,Flat Apartment FOR Rent,10000000/year
"Carlton Gate Estate, Akobo Akobo Ibadan Oyo",3,3,,,Flat Apartment FOR Rent,6500000/year
Gwarinpa Abuja,3,4,,,House FOR RENT,6000000/year
Agodi Gra Ibadan Oyo,4,4,,,Flat Apartment FOR Rent,7000000/year
"Carlton Gate Estate, Akobo Ibadan Oyo",4,4,,,Flat Apartment FOR Rent,6000000/year
"Engr Lere Adigun Gra, Basorun Ibadan Oyo",5,5,,,Flat Apartment FOR Rent,15000000/year
Carlton Gate Estate Akobo Ibadan Oyo,3,3,,,Flat Apartment FOR Rent,6500000/year
"Carlton Gate Estate, Akobo Ibadan Oyo",4,4,,,Flat Apartment FOR Rent,10000000/year
Bodija Estate Ibadan Oyo,2,2,,,Flat Apartment FOR Rent,3000000/year
Lekki Phase 1 Lekki Lagos,5,5,,,House FOR Rent,35000000/year
"Orchid Road, Lekki Phase 2 Lekki Lagos",1,1,,,Commercial Property FOR Rent,3000000/year
Nike Art Gallery Road Ikate Lekki Lagos,3,3,,,Flat Apartment FOR Rent,18000000/year
